Čovjek,ChatGPT,Claude,Gemini
0,0.003761755,0,0
0,0,0,0.001264755
0,0,0,0.000519211
0,0.000616143,0,0
0.000605694,0.012554928,0.000423729,0
0,0,0.003663004,0.001277139
0.001851166,0,0,0.00154202
0.002216312,0.013218099,0,0.00033036
0.000865801,0.001693002,0,0.000965717
0.002669336,0.005136986,0,0.001870324
0.003271538,0.014521452,0,0
0.003760577,0.00317864,0,0.000793021
0.004839419,0.000597729,0.011600928,0.0027894
0.001076426,0.000606428,0,0.002151694
0,0,0,0.002063274
0,0.009101942,0,0
0.000868432,0,0,0
0.000642261,0.00264131,0.007123288,0.004301075
0.002788622,0,0,0.002109705
0.001492219,0,0.001385042,0.002098196
0,0,0,0.004952538
0.000677277,0,0.001116695,0
0,0.000327869,0,0.000904977
0.000907029,0,0.001477105,0.00062461
0.000471587,0.005755396,0,0.001383126
0.001727116,0,0,0.001727116
0,0,0,0.000869565
0.001317523,0.003950339,0,0.001239926
0.005259204,0.001926782,0,0.00041632
0,0,0,0
0,0.00729927,0,0.0013947
0.000402901,0,0,0.000982318
0.000886525,0,0.007060572,0.002535926
0,0.003023432,0.00514259,0
0,0,0,0.000451671
0,0.002419843,0,0
0,0.014222222,0,0.001382488
0,0.005548705,0,0.000784929
0.001076426,0.002723312,0,0
0.00374719,0,0.002608696,0.001813785
0.007498791,0.006108735,0,0.004136505
0.000342818,0,0,0
0.000535714,0.004192872,0,0.001157407
0.003309572,0,0,0.003266195
0.012048193,0.003536068,0,0.005194805
0.005564388,0.000753012,0,0.00245098
0,0.00123533,0.001240695,0.001925855
0.002866356,0,0,0
0,0.003382187,0,0
0.002626395,0.000691085,0,0.001588142
0.004108785,0,0.002467395,0.002531646
0.003458367,0.000961076,0,0.001257862
0,0,0.004875887,0.003092784
0.001866621,0,0,0.000708215
0.000701508,0,0,0.000673854
0,0,0,0.000883392
0.002659574,0.001422475,0,0
0.003156787,0,0.015013829,0.007262164
0,0,0,0.000915751
0,0.002336449,0,0
0.000336587,0,0,0.001686341
0.002822201,0,0,0.000678887
0,0,0,0
0.004207574,0,0.00477327,0.003401361
0.000393933,0,0.003208213,0.002886003
0.00220403,0.003696858,0,0.004189944
0.00136612,0,0,0.003246753
0,0.000986193,0.000934143,0
0.000855725,0.001606426,0.006259781,0.002980626
0,0,0,0.001384083
,0.003079292,,
,0,,
