Čovjek,ChatGPT,Claude,Gemini
18.85643564,19.21686747,17.78417266,18.89333333
18.65251989,20.15481172,18.64137931,21.76146789
19.43859649,20.640625,18.7983871,18.88235294
16.67123288,17.26595745,21.36263736,22.47368421
13.99152542,15.61764706,18.4375,17.70192308
17.78651685,20.60493827,21,20.07692308
29.04301075,17.30120482,19.92380952,17.06578947
19.28205128,18.38317757,18.70289855,20.4527027
20.26315789,16.25688073,19.75641026,19.53773585
33.3,17.00970874,21.61971831,21.10526316
22.36585366,16.29032258,20.93203883,19.5
25.528,17.09782609,22.73809524,18.82089552
19.26271186,17.98924731,17.24,18.38461538
18.95918367,19.1744186,18.49579832,17.05504587
21.30526316,21.14814815,19.47524752,17.73170732
22.86259542,14.45614035,20.22680412,25.86516854
20.93636364,20.15492958,22.47435897,20.78688525
19.4625,19.71875,27.23880597,24.47368421
23.59210526,25.58823529,25.65060241,18.96
26.20670391,22.57142857,19,23.59405941
23.27745665,19.37333333,27.2890625,23.52427184
26.6036036,16.94,24.2027027,21.8974359
25.20231214,28.77358491,26.275,14.35064935
22.5,21.03636364,18.93706294,17.40217391
18.68281938,16.74698795,22.66494845,25.22093023
27.57142857,16.62921348,24.27368421,17.7244898
23.22435897,27.9047619,21.01754386,22.54901961
21.08333333,21.34939759,20.94623656,21.22368421
18.31651376,20.48684211,26.60451977,15.90728477
22.06896552,19.77380952,18.71428571,19.32307692
27.53333333,19.78888889,24.48453608,21.08823529
20.17886179,16.9223301,19.89189189,15.42424242
19.78947368,23.81395349,19.78676471,22.75
24.14285714,16.33333333,15.5,16.45783133
19.41333333,24.37681159,19.62352941,19.76785714
20.44811321,18.78409091,19.90384615,20.14678899
18.75438596,11.47959184,16.91156463,15.06944444
16.17346939,17.82417582,16.72881356,14.31460674
24.60927152,17.32075472,16.86619718,17.63106796
29.00724638,13.04672897,19.16666667,19.92771084
21.53125,14.74774775,18.07058824,13.43055556
20.54225352,20.3,20.92682927,18.65517241
25.57077626,17.45121951,17.29775281,17.81443299
25.67320261,20.88709677,16.70454545,16.7
20.92436975,15.53846154,21.12711864,20.05208333
19.06060606,17.47368421,19.56725146,20.92307692
29.13333333,22.48611111,18.74418605,20.3627451
24.80888889,15,19.01470588,19.60747664
18.01980198,17.74,18.92307692,17.05309735
33.10869565,17.22619048,21.51445087,21.96511628
30.42261905,14.9266055,23.84033613,18.515625
23.34782609,27.74666667,25.97959184,22.08333333
25.37142857,21.58461538,23.5,21.55555556
30.85340314,20.77777778,22.78358209,18.33766234
25.00877193,23.70909091,18.17164179,17.66666667
24.26315789,16.25,15.57017544,15.50684932
25.93103448,18.5,20.95744681,18.39473684
30.98913043,14,21.09166667,18.8630137
24.65591398,19.58333333,20.2038835,17.0625
23.11818182,17.35135135,18.8115942,15.79104478
18.68553459,16.53731343,22.55555556,21.96296296
19.32727273,19.29166667,25.18627451,21.04285714
23.18848168,20.0952381,22.35227273,14.5862069
26.08536585,21.43037975,19.76415094,18.375
22.56444444,22.24074074,19.00609756,17.11111111
23.18248175,18.33898305,16.81914894,15.91111111
25.63424125,17.94444444,18.875,19.25
32.59016393,15.36363636,19.82407407,14.03389831
26.31981982,18.58208955,20.95081967,23.13793103
34.2037037,17.08955224,17.29104478,15.87912088
,20.61904762,,
,20.76666667,,
