Čovjek,ChatGPT,Claude,Gemini
4.818850092,5.771786834,6.010113269,5.359915314
4.93245165,5.646460453,5.771735109,5.115935919
5.467057762,5.637774413,6.019305019,5.236760125
5.336483155,5.755391251,6.195987654,5.43793911
5.215021199,5.679221594,6.144915254,5.627376426
4.571699305,6.049730377,6.155939299,5.75862069
4.961495742,6.057799443,6.336520076,5.789514264
5.398492908,5.819522115,6.207671445,5.654112983
5.101298701,6.178893905,6.042829332,5.336069532
5.675675676,5.871004566,6.403908795,5.629052369
5.571792076,5.78679868,6.479128015,5.828264758
5.126292698,6.005721551,6.116579407,5.619349722
4.661240651,6.239689181,5.71616396,6.10041841
4.778256189,6.120072771,6.060881418,5.593329747
5.261363636,6.147110333,6.020335536,5.643053645
5.008681135,6.011529126,5.883792049,4.099478714
4.8475901,5.953878407,6.697661152,5.530757098
4.900449583,5.427363973,5.379726027,5.306451613
5.350250976,5.696551724,6.284170972,5.502637131
5.038584524,5.497626582,5.485595568,4.545530843
5.092624783,5.67928424,4.817348984,4.725959554
5.313240772,5.438016529,5.864321608,5.183255269
4.476605505,4.365245902,5.429590866,5.018552036
5.333333333,5.507346586,6.281757755,5.808244847
4.930912521,5.587769784,5.221059814,4.708160443
5.244263509,5.831756757,6.229401561,5.73517559
5.185481645,5.161547213,6.153171953,5.499130435
5.540184453,5.940180587,6.043634497,5.323620583
5.111194591,5.929993577,5.643448715,5.266444629
5.2046875,6.031908489,6.211978861,5.945859873
4.881010031,5.510948905,6.112,5.536262204
5.138195004,5.722891566,6.174818841,5.269155206
5.423315603,5.622070313,6.647342995,5.944209637
4.789940828,5.944066515,5.765310893,4.916544656
5.117445055,6.37098692,6.184652278,4.999096658
5.09088812,5.396249244,6.238164251,5.352003643
5.782039289,5.735111111,6.158889783,5.288940092
5.289274448,5.844019729,6.072948328,5.766091052
5.398277718,5.547930283,6.600417537,5.663546256
5.578815888,6.121776504,6.271014493,5.741233374
5.264634736,6.242516799,5.759765625,4.895553257
5.074734316,5.873015873,5.338383838,5.335797905
5.356607143,5.380852551,6.359857096,5.755787037
5.20595723,5.065637066,6.20170068,5.01034295
5.316064257,6.03960396,6.110709988,5.646233766
4.517488076,5.468373494,5.653915123,5.423406863
5.180320366,6.12291538,6.253722084,5.064997593
5.337513436,5.742753623,6.201082753,5.18207817
5.137362637,5.732243517,5.852134146,5.530877011
5.328956008,5.659295093,6.28264374,5.900476443
5.156133829,5.936693301,5.938667607,5.470042194
4.790369779,5.199903892,5.277297722,5.363522013
4.461148649,5.83321454,5.783244681,5.066494845
5.329373833,5.521390374,5.49164756,5.35694051
5.014731673,5.804447853,6.275975359,5.576145553
5.309110629,5.48021978,6.731830986,5.651060071
4.853058511,6.012091038,5.632994924,5.090128755
4.941073308,6.453007519,5.787040695,5.252723312
5.195377235,5.332978723,5.547813551,5.445970696
5.4978372,5.456386293,6.17257319,5.653119093
4.988892629,5.60198556,6.165517241,5.553962901
5.004703669,6.095032397,5.975476839,5.831636117
5.419959359,5.985781991,6.209456024,5.505910165
5.074333801,5.77968104,5.834367542,5.170068027
4.832578294,6.231473772,6.188642926,5.480519481
5.358312343,5.804066543,6.18342821,5.333798883
4.860503947,6.123839009,5.323557237,5.334415584
4.931338028,6.23964497,5.839794489,5.109903382
4.987677563,5.305220884,5.79029734,5.219821162
5.318354088,5.88209607,6.050927924,5.516262976
,5.522709777,,
,6.093900482,,
